customerID,date,points,onPeakKwh,offPeakKwh
123456,2019-12-14,20,2,3
1000003,2019-12-12,25,1,4
123458,2019-12-13,10,5,1
1000003,2019-12-14,91.30000000000001,5.61,3.5200000000000005
1000003,2019-12-14,86.6,4.299999999999999,4.36
1000003,2019-12-14,117.5,6.0200000000000005,5.7299999999999995
1000003,2019-12-14,104.00000000000003,5.010000000000001,5.3900000000000015
1000003,2019-12-14,97.10000000000002,4.0600000000000005,5.650000000000001
1000004,2019-12-14,118.19999999999999,3.02,8.799999999999999
1000004,2019-12-14,185.90000000000003,7.13,11.460000000000003
1000004,2019-12-14,233.00000000000003,7.76,15.540000000000003
1000004,2019-12-14,241.7,7.8100000000000005,16.359999999999996
1000004,2019-12-14,184.59999999999997,5.77,12.689999999999998
